Freq,S11_o_mod_v,S11_o_pha_v,S11_s_mod_v,S11_s_pha_v,S11_m_mod_v,S11_m_pha_v,S22_o_mod_v,S22_o_pha_v,S22_s_mod_v,S22_s_pha_v,S22_m_mod_v,S22_m_pha_v,S11_thru_mod_v,S11_thru_pha_v,S21_thru_mod_v,S21_thru_pha_v,S12_thru_mod_v,S12_thru_pha_v,S22_thru_mod_v,S22_thru_pha_v
416204013.377926,0.684457478005865,0.144281524926686,0.603519061583578,1.74017595307918,1.62228739002933,1.13841642228739,0.73900293255132,1.38475073313783,0.587683284457478,0.533137829912024,1.48504398826979,0.422287390029326,1.59237536656891,1.22287390029326,0.66158357771261,1.26686217008798,0.64574780058651,0.147800586510264,1.22991202346041,0.543695014662757
423892976.588629,0.675659824046921,0.128445747800587,0.622873900293255,1.68563049853372,1.62228739002933,1.13137829912023,0.728445747800586,1.21055718475073,0.612316715542522,0.842815249266862,1.49912023460411,0.527859237536657,1.62932551319648,1.58357771260997,0.665102639296188,1.10850439882698,0.64574780058651,0.0457478005865103,1.25982404692082,0.804105571847507
431581939.799331,0.666862170087977,0.114369501466276,0.642228739002933,1.64340175953079,1.61876832844575,1.10850439882698,0.70733137829912,1.03284457478006,0.651026392961877,1.09970674486804,1.56070381231672,0.652785923753666,1.52023460410557,1.1683284457478,0.665102639296188,0.95366568914956,0.649266862170088,0.0316715542521994,1.30733137829912,1.07507331378299
439270903.010033,0.656304985337243,0.100293255131965,0.659824046920821,1.61348973607038,1.62932551319648,1.12609970674487,0.675659824046921,0.835777126099707,0.682697947214076,1.31788856304985,1.63108504398827,0.614076246334311,1.41994134897361,0.897360703812317,0.665102639296188,0.795307917888563,0.652785923753666,0.112609970674487,1.36539589442815,1.38826979472141
446959866.220736,0.642228739002933,0.0844574780058651,0.67741935483871,1.59237536656891,1.61348973607038,1.12434017595308,0.638709677419355,0.601759530791789,0.710850439882698,1.50791788856305,1.66099706744868,0.566568914956012,1.35131964809384,0.695014662756598,0.668621700879765,0.640469208211144,0.654545454545455,0.211143695014663,1.42697947214076,1.76480938416422
454648829.431438,0.624633431085044,0.06158357771261,0.691495601173021,1.57653958944282,1.60293255131965,1.09442815249267,0.605278592375367,0.325513196480938,0.728445747800586,1.68739002932551,1.6891495601173,0.494428152492669,1.30909090909091,0.519061583577713,0.670381231671554,0.49266862170088,0.654545454545455,0.30791788856305,1.46568914956012,1.49208211143695
462337792.64214,0.605278592375367,0.0404692082111437,0.703812316715543,1.56598240469208,1.5941348973607,1.05219941348974,0.592961876832845,0.0598240469208211,0.737243401759531,1.8,1.68387096774194,0.346627565982405,1.29677419354839,0.355425219941349,0.668621700879765,0.344868035190616,0.652785923753666,0.406451612903226,1.43225806451613,0.955425219941349
470026755.852843,0.5841642228739,0.0263929618768328,0.714369501466276,1.55894428152493,1.58885630498534,1.00293255131965,0.596480938416422,0.223460410557185,0.737243401759531,1.74369501466276,1.62756598240469,0.235777126099707,1.27038123167155,0.235777126099707,0.665102639296188,0.197067448680352,0.651026392961877,0.512023460410557,1.36539589442815,0.506744868035191
477715719.063545,0.561290322580645,0.0457478005865103,0.721407624633431,1.55542521994135,1.58357771260997,0.939589442815249,0.626392961876833,0.506744868035191,0.726686217008798,1.55718475073314,1.56598240469208,0.188269794721408,1.27214076246334,0.0545454545454545,0.665102639296188,0.0351906158357771,0.651026392961877,0.622873900293255,1.31436950146628,0.15307917888563
485404682.274247,0.543695014662757,0.131964809384164,0.728445747800586,1.55190615835777,1.59061583577713,0.876246334310851,0.66158357771261,0.742521994134897,0.70733137829912,1.358357771261,1.50791788856305,0.197067448680352,1.29325513196481,0.0879765395894428,0.666862170087977,0.0580645161290323,0.654545454545455,0.731964809384164,1.28093841642229,0.100293255131965
493093645.48495,0.541935483870968,0.234017595307918,0.731964809384164,1.55190615835777,1.58709677419355,0.841055718475073,0.691495601173021,0.944868035190616,0.680938416422287,1.13489736070381,1.45513196480938,0.26217008797654,1.33900293255132,0.295601173020528,0.670381231671554,0.218181818181818,0.659824046920821,0.839296187683284,1.25806451612903,0.496187683284457
500782608.695652,0.547214076246334,0.330791788856305,0.733724340175953,1.55366568914956,1.57478005865103,0.76891495601173,0.717888563049853,1.12609970674487,0.651026392961877,0.874486803519062,1.41642228739003,0.362463343108504,1.39882697947214,0.225219941348974,0.675659824046921,0.378299120234604,0.665102639296188,0.941348973607038,1.25454545454545,0.547214076246334
508471571.906354,0.556011730205279,0.422287390029326,0.730205278592375,1.55366568914956,1.57478005865103,0.767155425219941,0.735483870967742,1.29325513196481,0.629912023460411,0.575366568914956,1.3900293255132,0.471554252199413,1.46041055718475,0.163636363636364,0.680938416422287,0.531378299120235,0.670381231671554,1.03812316715543,1.26510263929619,0.772434017595308
516160535.117057,0.575366568914956,0.501466275659824,0.726686217008798,1.54838709677419,1.56422287390029,0.628152492668622,0.746041055718475,1.45161290322581,0.626392961876833,0.258651026392962,1.37067448680352,0.587683284457478,1.4692082111437,0.100293255131965,0.686217008797654,0.682697947214076,0.675659824046921,1.13137829912023,1.29149560117302,0.987096774193548
523849498.327759,0.594721407624633,0.566568914956012,0.72316715542522,1.54134897360704,1.59765395894428,0.448680351906158,0.747800586510264,1.61173020527859,0.643988269794721,0.0263929618768328,1.36539589442815,0.702052785923754,1.42697947214076,0.114369501466276,0.689736070381232,0.83049853372434,0.67741935483871,1.22287390029326,1.33372434017595,1.20703812316716
531538461.538462,0.6158357771261,0.6158357771261,0.717888563049853,1.53607038123167,1.66099706744868,0.475073313782991,0.742521994134897,1.7841642228739,0.673900293255132,0.212903225806452,1.36363636363636,0.791788856304985,1.35131964809384,0.147800586510264,0.693255131964809,0.980058651026393,0.679178885630499,1.31260997067449,1.40234604105572,1.43225806451613
